rmse_60,cw_t_60,cw_p_60,rmse_70,cw_t_70,cw_p_70,rmse_80,cw_t_80,cw_p_80,rmse_90,cw_t_90,cw_p_90,model,method,n
0.2668,3.8389,0.0001,0.2574,3.5943,0.0002,0.2096,2.4135,0.0079,0.1296,1.9387,0.0263,4h_llm_all_sent,LLM,151
0.2683,3.8238,0.0001,0.2598,3.5405,0.0002,0.2113,2.3586,0.0092,0.1315,1.9331,0.0266,4h_llm_topics,LLM,151
0.3408,0.2185,,0.3548,-0.1516,,0.2755,1.6434,,0.1957,1.433,,4h_llm_total_inter,LLM,151
0.2995,2.7729,0.0028,0.2983,2.5994,0.0047,0.24,2.029,0.0212,0.1758,0.5324,,G4_speeches_zs_4f_matched,Gardner,151
0.3189,1.8263,,0.3116,2.2452,0.0124,0.223,1.3505,0.0884,0.1876,-1.3906,,G5_minutes_zs_ewma10_4c_topics,Gardner,151
0.3006,2.8586,0.0021,0.3146,2.2099,,0.255,1.7707,0.0383,0.1711,0.4686,,G6_minutes_zs_4f_matched,Gardner,151
0.3036,1.4051,0.08,0.3073,1.0059,0.1572,0.2415,1.3345,0.091,0.1667,0.4425,0.3291,S7_all_docs_wc_ewma10_4b_cons,Sharpe,151
0.305,1.3796,0.0839,0.3089,0.9748,0.1648,0.2427,1.3494,0.0886,0.1665,0.4595,0.3229,S8_statements_wc_ewma10_4b_cons,Sharpe,151
0.3148,0.911,,0.3137,0.9178,,0.2528,0.9522,0.1705,0.1782,-0.9515,,S9_minutes_zs_4e_inter,Sharpe,151
